fixIdx,legIdx,tickLead,togo,area
1064,2,1434.799737553281,184.522,30.13079448864043
1068,2,1454.799737553281,184.498,34.91519370128007
1069,2,1459.799737553281,184.456,61.31158897724012
1070,2,1464.799737553281,184.389,98.14158241603884
1071,2,1469.799737553281,184.311,114.64437952916026
1072,2,1474.799737553281,184.234,113.55957979159994
1073,2,1479.799737553281,184.13,153.89917270556106
1074,2,1485.799737553281,184.019,164.92377086839932
1075,2,1490.799737553281,183.908,165.47877086844164
1076,2,1495.799737553281,183.795,169.02537034352005
1077,2,1500.799737553281,183.675,180.09596850635788
1078,2,1505.799737553281,183.573,153.59157323044047
1079,2,1510.799737553281,183.484,134.46117664223993
1080,2,1515.799737553281,183.397,131.874577167162
1081,2,1520.799737553281,183.308,135.35117664223992
1082,2,1525.799737553281,183.219,135.7961766422399
1083,2,1530.799737553281,183.134,130.11797769204105
1084,2,1535.799737553281,183.03,159.72317270551818
1085,2,1540.799737553281,182.947,127.88637821691987
1086,2,1545.799737553281,182.853,145.30517532999926
1087,2,1550.799737553281,182.754,153.52917401780266
1088,2,1555.799737553281,182.636,183.58436903127938
1089,2,1560.799737553281,182.524,174.8095706059593
1090,2,1565.799737553281,182.426,153.44837428024218
1091,2,1570.799737553281,182.326,157.07997375531917
1092,2,1575.799737553281,182.228,154.42837428019752
1093,2,1580.799737553281,182.144,132.78717795448063
1094,2,1585.799737553281,182.093,80.87578661524293
1095,2,1590.799737553281,182.045,76.35838740256038
1096,2,1595.799737553281,182.003,67.02358897724034
1097,2,1600.799737553281,181.997,9.604798425274552
1099,2,1610.799737553281,181.965,51.5455916017222
1100,2,1615.799737553281,181.889,122.8007800540387
1101,2,1620.799737553281,181.871,29.174395275960162
1104,2,1635.799737553281,181.847,39.25919370128023
1106,2,1645.799737553281,181.825,36.20759422620473
1107,2,1650.799737553281,181.764,100.69878399071486
1111,2,1670.799737553281,181.75,23.39119632576265
1116,2,1695.799737553281,181.699,86.4857866151965
1117,2,1700.799737553281,181.596,175.18237296800262
1118,2,1705.799737553281,181.487,185.93217139332273
1119,2,1710.799737553281,181.383,177.92317270551555
1120,2,1715.799737553281,181.275,185.30637165576135
1121,2,1720.799737553281,181.165,189.2879711308844
1122,2,1726.799737553281,181.06,181.31397244307684
1123,2,1731.799737553281,180.951,188.76617139332296
1124,2,1736.799737553281,180.85,175.4167734928798
1125,2,1741.799737553281,180.749,175.9217734928798
1126,2,1746.799737553281,180.648,176.4267734928798
1127,2,1751.799737553281,180.546,178.68357323044143
1128,2,1756.799737553281,180.444,179.19357323044144
1129,2,1761.799737553281,180.345,174.41817401775637
1130,2,1766.799737553281,180.243,180.21357323044148
1131,2,1771.799737553281,180.154,157.69017664223958
1132,2,1776.799737553281,180.091,111.93838346583568
1133,2,1781.799737553281,180.049,74.83558897724063
1134,2,1786.799737553281,179.972,137.5835797915994
1135,2,1791.799737553281,179.901,127.21778136627928
1136,2,1796.799737553281,179.808,167.102375592487
1137,2,1801.799737553281,179.722,154.9547774295539
1138,2,1806.799737553281,179.627,171.64597506755965
1139,2,1811.799737553281,179.52,193.86257191819982
1140,2,1816.799737553281,179.42,181.6799737553694
1141,2,1821.799737553281,179.326,171.24917532999763
1142,2,1826.799737553281,179.229,177.1995745426317
1143,2,1831.799737553281,179.131,179.51637428024569
1144,2,1836.799737553281,179.032,181.8431740177556
1145,2,1841.799737553281,178.94,169.44557585492572
1146,2,1846.799737553281,178.847,171.75237559243538
1147,2,1851.799737553281,178.752,175.9209750675596
1148,2,1856.799737553281,178.668,155.9711779544815
1149,2,1861.799737553281,178.61,107.98438477807674
1150,2,1866.799737553281,178.547,117.60838346588768
1151,2,1871.799737553281,178.484,117.92338346583456
1152,2,1876.799737553281,178.431,99.47038609031877
1153,2,1881.799737553281,178.385,86.56278792748986
1154,2,1886.799737553281,178.334,96.22678661519416
1155,2,1891.799737553281,178.282,98.37358635275642
1156,2,1896.799737553281,178.224,110.0143847781304
1157,2,1901.799737553281,178.176,91.28638740256095
1158,2,1906.799737553281,178.116,114.40798425314699
1159,2,1911.799737553281,178.05,126.17878267852132
1160,2,1916.799737553281,177.975,143.75998031652875
1161,2,1921.799737553281,177.908,128.7605824160838
1166,2,1946.799737553281,177.902,11.680798425320129
1169,2,1961.799737553281,177.866,70.62479055186503
1172,2,1976.799737553281,177.85,31.62879580089115
1176,2,1996.799737553281,177.836,27.955196325709156
1177,2,2001.799737553281,177.764,144.1295811038417
1178,2,2007.799737553281,177.755,18.070197638008747
1185,2,2042.799737553281,177.751,8.17119895019408
1186,2,2047.799737553281,177.65,206.82777349287952
1187,2,2052.799737553281,177.566,172.43517795448213
1188,2,2057.799737553281,177.486,164.6239790042882
1189,2,2062.799737553281,177.413,150.58438084134636
1192,2,2077.799737553281,177.383,62.33399212660079
1193,2,2082.799737553281,177.297,179.12077742960867
1194,2,2087.799737553281,177.236,127.35578399076485
1196,2,2097.799737553281,177.228,16.782397900387135
1197,2,2102.799737553281,177.2,58.87839265153394
1199,2,2112.799737553281,177.188,25.353596850640333
1200,2,2117.799737553281,177.179,19.060197637950154
1202,2,2127.799737553281,177.138,87.23978923967775
1205,2,2142.799737553281,177.12,38.57039527596052
1207,2,2152.799737553281,177.064,120.5567853030087
1210,2,2167.799737553281,177.053,23.845797113076724
1215,2,2192.799737553281,177.013,87.71198950211378
1218,2,2207.799737553281,176.992,46.36379448865203
1220,2,2217.799737553281,176.974,39.92039527596057
1222,2,2227.799737553281,176.97,8.911198950192356
1223,2,2232.799737553281,176.914,125.03678530300962
1226,2,2248.799737553281,176.895,42.727195013460694
1229,2,2263.799737553281,176.873,49.80359422621696
1230,2,2268.799737553281,176.786,197.38557716711068
1231,2,2273.799737553281,176.689,220.55857454268738
